title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
Spider-Man: Into the Spider-Verse,2018,"Rodney Rothman,Peter Ramsey,Bob Persichetti",117,471056,231832,4.4,275,585,330,1923,2178,13916,22153,84260,70990,150869
Alien,1979,Ridley Scott,117,379337,130733,4.3,145,442,299,1974,1961,13690,17632,60239,38044,81236
Captain Marvel,2019,"Ryan Fleck,Anna Boden",124,337033,77294,3.2,2696,5803,5852,22166,25424,59095,43511,42337,9313,16662
Captain America: The Winter Soldier,2014,"Anthony Russo,Joe Russo",136,479385,128919,3.8,803,2739,1700,10378,10092,42585,40745,77448,30175,40600
Guardians of the Galaxy Vol. 2,2017,James Gunn,137,477059,131595,3.6,1031,3076,2661,14156,16423,61710,56068,79567,20530,27144
Spider-Man: Far from Home,2019,Jon Watts,129,313278,91879,3.6,676,1576,1847,8127,13393,43816,49976,63425,17910,19179
Rogue One: A Star Wars Story,2016,Gareth Edwards,133,443393,123256,3.6,1248,3968,3353,15121,15911,50887,48221,78469,24437,30301
Logan,2017,James Mangold,137,420281,146544,4.0,358,1164,801,5024,5140,26903,33581,88935,45787,58556
The Martian,2015,Ridley Scott,141,481123,130563,3.7,478,1716,1393,8643,9922,49769,51646,94779,25740,29864
The Empire Strikes Back,1980,Irvin Kershner,124,506762,180467,4.4,228,473,268,1861,2023,15036,16978,62922,44127,127552
Blade Runner,1982,Ridley Scott,118,388172,130523,4.1,378,1319,932,5151,5509,22459,25229,63974,36076,70686
Star Wars: The Rise of Skywalker,2019,J.J. Abrams,142,285492,51249,2.8,5317,11630,13184,34138,32039,49582,29712,26714,6433,8145
2001: A Space Odyssey,1968,Stanley Kubrick,149,339349,117398,4.3,767,1662,863,3863,2860,12669,12115,38334,28574,94504
Aliens,1986,James Cameron,137,227359,67205,4.1,132,353,383,1869,2351,10749,14484,37786,22687,34706
Ex Machina,2014,Alex Garland,108,411674,137508,4.0,306,1028,719,4713,4798,27108,34967,93596,43661,45849
Bird Box,2018,Susanne Bier,124,256673,36249,2.9,2942,8093,7510,22301,21908,46247,26875,22858,3858,6270
Terminator 2: Judgment Day,1991,James Cameron,156,268780,77191,4.2,137,353,254,1812,1946,11120,13982,40298,26341,42377
Okja,2017,Bong Joon-ho,122,173396,43981,3.7,308,898,781,3728,5109,19110,26272,37834,11563,10081
The Matrix,1999,"Lilly Wachowski,Lana Wachowski",136,509860,151854,4.1,361,1146,780,4420,4298,24778,28324,81463,41989,75087
Under the Skin,2013,Jonathan Glazer,108,149538,39907,3.7,900,2000,1430,4913,4650,13212,14743,25722,13582,14295
Venom,2018,Ruben Fleischer,112,214030,36813,2.8,3193,8484,9147,23380,22463,36724,18765,14651,2495,5244
X-Men: Days of Future Past,2014,Bryan Singer,131,335962,69395,3.6,583,1917,1545,8261,9057,34940,34301,50279,15114,12708
A.I. Artificial Intelligence,2001,Steven Spielberg,146,141848,21573,3.4,379,1065,985,4388,4800,14195,12769,14825,4948,5704
10 Cloverfield Lane,2016,Dan Trachtenberg,104,253894,63091,3.6,478,1413,1053,5598,6695,30081,37361,52614,14006,9544
The Fly,1986,David Cronenberg,96,120603,30625,3.9,109,272,237,1262,1577,7644,11289,23258,9601,9900
The Maze Runner,2014,Wes Ball,113,196326,22592,3.0,1017,3088,3150,10567,11579,25962,15785,12988,2209,4810
The Lost World: Jurassic Park,1997,Steven Spielberg,129,196400,21858,3.0,422,1641,2309,10670,12427,27176,14222,11087,1750,3025
Star Trek Beyond,2016,Justin Lin,122,138886,24990,3.3,255,965,1070,5061,7169,22163,20000,17612,3238,3198
Predator,1987,John McTiernan,107,146629,34946,3.8,128,390,437,2123,3013,12232,15176,25108,8144,10606
The Matrix Reloaded,2003,"Lilly Wachowski,Lana Wachowski",138,196568,23717,3.2,576,1998,2152,8984,10227,24611,16575,14477,3088,4418
Solaris,1972,Andrey Tarkovsky,167,62498,18165,4.2,57,161,151,608,727,2349,3615,9830,8301,10518
Close Encounters of the Third Kind,1977,Steven Spielberg,135,115904,26227,3.9,87,309,355,1536,2150,8607,10935,19012,7956,9487
Independence Day,1996,Roland Emmerich,145,194302,27762,3.3,517,1630,1677,6967,8208,23694,17764,16886,3104,4523
The Host,2006,Bong Joon-ho,120,94626,22976,3.7,132,321,365,1570,2275,8946,14549,20972,6779,4045
Dark Phoenix,2019,Simon Kinberg,114,89119,8027,2.3,2843,6851,7253,15135,11967,13066,4910,2773,405,791
RoboCop,1987,Paul Verhoeven,102,142575,33291,3.9,131,414,398,2143,2375,10651,12006,21126,8728,12639
Super 8,2011,J.J. Abrams,112,184029,32357,3.4,257,777,940,4674,6887,22440,22193,22335,5212,4736
Cloverfield,2008,Matt Reeves,85,178192,29284,3.3,750,1709,1588,6315,7859,23814,21316,20167,4256,3738
Passengers,2016,Morten Tyldum,116,163133,19392,2.8,1948,4937,5123,14644,14121,24254,13281,10463,1910,2826
Attack the Block,2011,Joe Cornish,88,70992,15976,3.5,135,371,366,1501,2311,7927,10455,11775,3091,2338
Frankenstein,1931,James Whale,71,56096,12532,3.9,18,107,117,538,870,4364,5563,9958,3411,4456
Bill & Ted's Excellent Adventure,1989,Stephen Herek,90,83279,19305,3.6,96,253,338,1509,2323,8802,9816,11237,2782,3762
Spaceballs,1987,Mel Brooks,96,109091,20920,3.4,289,876,795,3039,3782,11576,10900,12157,2947,3755
Sunshine,2007,Danny Boyle,107,73790,15672,3.6,95,262,371,1459,2269,7495,10208,12152,4216,2752
Transformers: Revenge of the Fallen,2009,Michael Bay,149,138746,7280,2.1,7136,10591,6925,12156,7308,9137,3469,2769,505,1202
Chappie,2015,Neill Blomkamp,120,93886,13261,3.0,849,2049,2293,6695,6846,13365,9328,7640,1613,1744
Armageddon,1998,Michael Bay,151,126581,12965,2.9,948,2477,2651,7550,7586,14777,8244,6941,1447,2230
Midnight Special,2016,Jeff Nichols,112,58564,10944,3.4,125,439,498,2233,3535,9897,10088,9396,2343,1240
Black Mirror: San Junipero,2016,Owen Harris,60,97064,27574,4.2,116,244,227,856,1063,4071,5361,13961,8820,15685
Terminator: Dark Fate,2019,Tim Miller,128,49465,8058,2.8,536,1476,1962,5353,6819,11523,7072,3974,585,631
Austin Powers: International Man of Mystery,1997,Jay Roach,94,126896,18088,3.3,335,912,771,3313,4127,14411,12572,12114,2252,2606
The Predator,2018,Shane Black,107,62312,6149,2.3,2501,4842,5118,9756,7660,9003,3736,1944,254,432
Happy Death Day 2U,2019,Christopher Landon,100,58036,10561,2.9,549,1474,1744,5007,6048,12912,8622,5091,853,943
Halloween III: Season of the Witch,1982,Tommy Lee Wallace,98,39994,8201,3.0,676,1244,1035,2608,2692,5508,4085,4084,1014,1342
The Fountain,2006,Darren Aronofsky,96,71404,14229,3.5,412,930,774,2545,2983,6895,7094,8770,3867,4688
Brightburn,2019,David Yarovesky,91,52553,7978,2.7,896,2166,2672,6536,7414,11357,6450,3689,499,538
The Happening,2008,M. Night Shyamalan,91,71129,4024,1.9,4711,7812,4914,6618,3918,4355,1827,1289,297,491
Mr. Nobody,2009,Jaco Van Dormael,156,79503,18488,3.7,370,729,617,1860,2236,5734,7173,10897,4955,6410
Black Mirror: White Christmas,2014,Carl Tibbetts,74,73934,15907,4.1,39,84,87,426,594,2928,4650,12812,7987,7250
Repo Man,1984,Alex Cox,92,33674,8988,3.7,44,153,164,647,952,3034,3708,5529,2292,2514
Seeking a Friend for the End of the World,2012,Lorene Scafaria,101,58225,8650,3.2,161,464,614,2471,3487,8317,6669,5083,1121,1131
Idiocracy,2006,Mike Judge,84,64102,9541,3.1,466,903,976,2833,3811,9055,7053,5521,1085,1125
Terminator Salvation,2009,McG,115,82831,5111,2.5,931,3196,3514,9146,7771,9798,4248,2043,267,374
Superman Returns,2006,Bryan Singer,154,94793,5419,2.5,868,2540,2710,8787,8138,10350,4008,2154,359,391
Invasion of the Body Snatchers,1978,Philip Kaufman,116,37254,9445,3.9,14,67,67,366,568,2657,4309,7903,2930,2310
Insurgent,2015,Robert Schwentke,119,91372,5842,2.5,1620,4022,3481,8574,5943,8391,3172,2884,419,1275
Safety Not Guaranteed,2012,Colin Trevorrow,85,56601,9722,3.3,141,405,521,1845,2939,7683,8037,6782,1606,1043
Ender's Game,2013,Gavin Hood,114,78974,7317,2.7,688,2038,2257,6592,6859,10530,5785,3598,685,818
Teenage Mutant Ninja Turtles,1990,Steve Barron,93,55149,8892,3.3,102,421,534,1890,2464,6804,4592,4253,912,1738
Superman II,1980,Richard Lester,127,47029,7144,3.4,58,213,267,1443,1827,5808,4812,4679,1143,1094
Mute,2018,Duncan Jones,126,24254,1890,2.2,997,2666,2536,4126,2698,2752,1166,852,130,192
Teen Titans Go! To the Movies,2018,"Aaron Horvath,Peter Rida Michail",85,25638,6203,3.3,154,268,318,1049,1713,5147,5319,3859,785,712
Scanners,1981,David Cronenberg,103,39821,8182,3.5,34,154,204,996,1570,5362,5916,5833,1328,1058
Hotel Artemis,2018,Drew Pearce,94,25370,3461,2.8,144,487,807,2753,4005,6173,3053,1608,208,206
Predator 2,1990,Stephen Hopkins,108,47470,5729,2.9,214,806,1142,3712,4142,7265,3994,2378,412,471
Black Mirror: Black Museum,2017,Colm McCarthy,69,52657,9578,3.8,80,162,212,802,1230,3961,5507,9206,3616,3536
Déjà Vu,2006,Tony Scott,126,58750,5802,3.2,94,347,572,2309,3390,8049,5616,3925,858,842
THX 1138,1971,George Lucas,86,25022,4289,3.4,48,169,192,854,1258,3368,3334,3079,771,674
Seconds,1966,John Frankenheimer,106,14701,4445,4.0,11,21,28,94,181,787,1521,3378,2138,1451
Transcendence,2014,Wally Pfister,119,47355,2972,2.4,1114,2716,2669,5281,4399,5027,2466,1537,316,392
Creature from the Black Lagoon,1954,Jack Arnold,79,26558,6134,3.6,21,81,107,597,929,3436,3631,4081,1019,1411
Strange Days,1995,Kathryn Bigelow,145,25497,5534,3.6,30,112,136,625,876,2672,3450,4163,1471,1066
Spy Kids 3-D: Game Over,2003,Robert Rodriguez,84,81093,4780,2.1,2347,4993,3859,6812,3655,4152,1322,1137,186,985
Demolition Man,1993,Marco Brambilla,115,51165,8335,3.2,121,400,544,1983,2815,7153,5669,4572,820,939
V/H/S/2,2013,"Eduardo Sánchez,Gregg Hale,Simon Barrett,Adam Wingard,Jason Eisener,Gareth Evans,Timo Tjahjanto",95,29981,4175,2.9,257,638,692,2100,2240,4948,3041,2287,419,380
Deep Impact,1998,Mimi Leder,120,45056,3221,2.8,168,655,861,3278,3767,6137,2710,1619,245,314
I Am Number Four,2011,D.J. Caruso,109,52900,2587,2.3,1010,2464,2365,4928,3459,4302,1639,1074,170,352
Vivarium,2019,Lorcan Finnegan,97,17549,2843,2.9,185,435,591,1842,2405,4077,2673,1774,327,239
From Beyond,1986,Stuart Gordon,85,17528,4717,3.5,19,81,106,463,692,2366,2957,3197,811,710
The Rocketeer,1991,Joe Johnston,108,28105,5114,3.4,18,125,161,791,1105,3784,3192,3000,645,655
G.I. Joe: Retaliation,2013,Jon M. Chu,110,44236,2353,2.3,922,2363,2294,5243,3806,4176,1455,759,109,254
The City of Lost Children,1995,"Jean-Pierre Jeunet,Marc Caro",108,20568,4510,3.7,30,79,77,355,505,1703,2305,3330,1195,1251
The Blob,1988,Chuck Russell,95,22012,5008,3.5,38,125,124,617,784,2728,3023,3376,779,716
Solaris,2002,Steven Soderbergh,99,25716,3176,3.2,131,338,330,1266,1584,3402,2626,2394,706,483
Black Mirror: Metalhead,2017,David Slade,41,39586,3683,2.8,515,1225,1001,3240,3311,5289,3143,2527,631,559
Pandorum,2009,Christian Alvart,108,22923,2839,3.0,112,337,458,1385,1772,3779,2613,1631,287,248
The Space Between Us,2017,Peter Chelsom,121,20618,2354,2.7,330,876,947,1944,1857,2783,1353,1177,255,553
Forbidden Planet,1956,Fred M. Wilcox,98,20203,4167,3.6,16,60,77,383,605,2164,2632,3159,903,916
Black Mirror: The National Anthem,2011,,44,50104,5663,3.4,213,435,346,1251,1631,5127,5403,6148,1626,1292
Superman III,1983,Richard Lester,125,28260,1789,2.2,441,1398,1670,3634,2244,2337,611,379,53,274
The Box,2009,Richard Kelly,115,26222,1713,2.5,558,1154,1122,2678,2321,2916,1532,969,187,193
"Dude, Where's My Car?",2000,Danny Leiner,83,55884,4057,2.5,915,2024,1767,4311,3627,4837,2114,1375,212,461
Dark Star,1974,John Carpenter,83,13627,2432,3.1,71,190,259,771,1020,2451,1590,1224,260,283
Star Trek VI: The Undiscovered Country,1991,Nicholas Meyer,113,23691,4422,3.6,19,78,93,535,694,2424,2776,3363,1030,825
On the Silver Globe,1988,Andrzej Żuławski,165,4966,1516,4.0,16,32,30,107,131,295,392,744,543,749
Flatliners,1990,Joel Schumacher,115,25622,3066,3.0,65,193,300,1251,1753,4383,2417,1476,223,298
Howard the Duck,1986,Willard Huyck,110,24465,2221,2.1,1228,1999,1393,2323,1484,1869,715,542,98,254
Death Race,2008,Paul W. S. Anderson,105,35367,2515,2.7,353,958,1140,2821,2910,4558,2136,1150,152,292
Elektra,2005,Rob Bowman,97,36684,1031,1.6,2870,4203,2269,2910,1277,1281,365,238,32,138
Mimic,1997,Guillermo del Toro,105,21879,2315,2.9,60,247,377,1486,2076,3946,1901,866,97,119
Underworld: Evolution,2006,Len Wiseman,106,38058,3092,2.8,200,754,891,2617,2627,4532,1988,1378,205,475
Doom,2005,Andrzej Bartkowiak,105,31873,1816,2.0,1184,2871,2336,4143,2446,2182,706,407,55,132
The Toxic Avenger,1984,"Lloyd Kaufman,Michael Herz",82,19931,4074,3.2,164,358,334,876,1023,2645,1982,2154,468,797
Rabid,1977,David Cronenberg,91,14046,2695,3.2,20,81,106,560,1004,2942,2454,1576,216,192
Battle: Los Angeles,2011,Jonathan Liebesman,116,34625,1911,2.2,907,2344,2113,4018,2966,3090,1401,700,140,167
Robot & Frank,2012,Jake Schreier,85,20930,3582,3.4,15,63,85,413,819,2941,3621,3101,595,299
Sleeper,1973,Woody Allen,87,21321,3289,3.5,37,110,123,472,707,2405,2755,2712,757,602
Daybreakers,2009,"Michael Spierig,Peter Spierig",98,30314,2912,2.9,129,388,560,1886,2559,4896,2826,1385,179,181
World on a Wire,1973,Rainer Werner Fassbinder,213,7278,2158,4.0,6,17,15,71,108,378,690,1534,898,734
Fahrenheit 451,2018,Ramin Bahrani,100,13232,781,2.3,299,893,1047,2580,1857,1567,556,351,64,71
Lake Placid,1999,Steve Miner,82,23656,2227,2.6,216,661,768,2088,1998,2874,1374,830,98,163
Pokémon: The Movie 2000,1999,Kunihiko Yuyama,84,32838,3399,3.0,102,398,447,1496,1744,3693,1691,1421,265,692
Sky Captain and the World of Tomorrow,2004,Kerry Conran,107,25399,2041,2.7,246,676,691,1924,1858,2876,1508,985,195,176
Fast Color,2018,Julia Hart,102,5910,1453,3.4,9,38,50,245,467,1271,1232,987,258,156
Underworld: Rise of the Lycans,2009,Patrick Tatopoulos,92,27506,2290,2.7,222,658,701,1980,2016,3256,1423,988,140,364
Village of the Damned,1995,John Carpenter,99,17321,1682,2.7,79,352,504,1658,1773,2619,1108,649,84,118
Coneheads,1993,Steve Barron,88,32428,2208,2.5,417,1092,941,2474,2082,2772,1080,706,102,265
Freaks,2018,"Zach Lipovsky,Adam B. Stein",105,8882,1944,3.2,46,132,163,522,754,1838,1799,1500,307,242
Promare,2019,Hiroyuki Imaishi,111,7222,3028,3.9,11,34,58,166,238,726,975,1630,897,935
Morgan,2016,Luke Scott,92,13805,1159,2.6,169,469,716,1909,2022,2347,1029,492,63,87
The Wandering Earth,2019,Frant Gwo,126,10081,1241,2.7,137,385,597,1324,1444,2134,1228,661,126,119
Ghost in the Shell 2: Innocence,2004,Mamoru Oshii,100,14060,2864,3.6,17,40,99,307,478,1408,1778,2128,802,684
Battlefield Earth,2000,Roger Christian,118,16915,511,1.1,4627,2539,712,602,238,261,103,78,24,96
Sound of My Voice,2011,Zal Batmanglij,85,9468,1777,3.4,29,53,81,342,563,1457,1515,1402,361,229
Honey I Blew Up the Kid,1992,Randal Kleiser,89,32154,1369,2.3,281,924,1084,2942,2018,2254,604,386,45,133
Masters of the Universe,1987,Gary Goddard,106,17039,1735,2.4,260,792,895,1885,1378,1722,679,451,69,189
The Quiet Earth,1985,Geoff Murphy,91,7649,1398,3.4,13,20,45,203,385,1132,1298,1126,234,154
Marjorie Prime,2017,Michael Almereyda,99,6300,1073,3.3,23,76,77,316,474,1220,1190,1021,265,126
Tideland,2005,Terry Gilliam,120,10953,1528,3.0,133,295,254,618,655,1209,1032,927,274,298
Nowhere,1997,Gregg Araki,82,6050,1853,3.7,35,51,51,152,180,573,597,866,401,645
Possessor,2020,Brandon Cronenberg,102,2227,754,3.6,5,14,29,71,136,290,433,552,224,105
Escape from the Planet of the Apes,1971,Don Taylor,98,15878,2144,3.1,36,117,157,656,1001,2650,1726,1159,177,186
Z for Zachariah,2015,Craig Zobel,97,10631,1161,2.9,55,185,221,816,1210,2365,1369,657,99,80
The Time Machine,2002,Simon Wells,96,24175,1436,2.5,236,721,924,2372,2162,2457,938,557,86,142
Mission to Mars,2000,Brian De Palma,114,19498,1216,2.6,159,574,605,1853,1661,2237,991,577,113,114
"20,000 Leagues Under the Sea",1954,Richard Fleischer,127,12982,2111,3.5,3,32,42,239,398,1555,1708,1650,388,364
Village of the Damned,1960,Wolf Rilla,77,9023,1764,3.6,3,18,18,119,265,1145,1486,1555,314,199
The Invasion,2007,Oliver Hirschbiegel,99,16092,840,2.5,138,474,630,1788,1641,2081,788,391,53,76
Paradise Hills,2019,Alice Waddington,95,6486,802,2.6,108,302,401,926,1010,1089,534,365,89,107
Superhero Movie,2008,Craig Mazin,85,25822,1236,1.8,2045,2555,1521,2245,1240,1319,533,356,84,141
"Ghidorah, the Three-Headed Monster",1964,Ishirō Honda,92,7213,1873,3.4,1,22,33,194,398,1308,1224,1014,196,211
Tammy and the T-Rex,1994,Stewart Raffill,82,5786,1832,3.1,150,231,184,443,438,984,699,802,142,329
The Black Hole,1979,Gary Nelson,98,8910,1260,2.8,36,144,269,738,892,1418,754,483,84,99
RoboCop 3,1993,Fred Dekker,104,16359,758,1.9,576,1442,1345,1934,949,918,258,132,21,60
Doctor Who: The Day of the Doctor,2013,Nick Hurran,77,17772,4251,4.0,33,47,41,170,248,863,1191,2363,1182,1836
2036: Nexus Dawn,2017,Luke Scott,6,13185,1939,3.2,25,81,84,382,676,2293,1624,1173,171,250
Sharknado 2: The Second One,2014,Anthony C. Ferrante,86,14190,1042,1.8,1435,1727,935,1349,659,853,284,271,56,210
See You Yesterday,2019,Stefon Bristol,86,7988,1177,2.9,102,226,294,805,993,1842,975,660,116,150
The X Files: I Want to Believe,2008,Chris Carter,104,17629,1219,2.7,119,331,494,1528,1536,2420,924,519,84,156
Swamp Thing,1982,Wes Craven,91,9366,1144,2.6,73,216,314,946,982,1486,556,305,23,57
Body Snatchers,1993,Abel Ferrara,87,8382,1300,3.2,21,64,100,386,528,1363,1048,800,187,123
Attack of the Killer Tomatoes!,1978,John De Bello,87,9260,1038,2.4,253,504,414,838,640,880,400,295,60,136
The Omega Man,1971,Boris Sagal,98,10011,1431,3.1,18,88,132,537,848,1903,1161,741,99,117
Apollo 18,2011,Gonzalo López-Gallego,86,14728,771,2.1,608,1268,1069,1807,1230,1225,475,253,30,54
"Je T'Aime, Je T'Aime",1968,Alain Resnais,94,3573,842,3.8,0,12,22,56,89,277,442,735,319,207
The Island of Dr. Moreau,1996,John Frankenheimer,96,11853,623,2.0,387,938,838,1418,826,798,230,155,25,40
Invasion of Astro-Monster,1965,Ishirō Honda,96,5717,1357,3.2,9,27,72,276,448,1190,769,600,134,187
District B13,2004,Pierre Morel,84,11977,1551,3.3,45,75,87,340,525,1595,1613,1351,214,202
Vampire Hunter D: Bloodlust,2000,Yoshiaki Kawajiri,103,8737,2018,3.7,6,33,40,144,227,840,1064,1388,454,431
Deep Rising,1998,Stephen Sommers,106,8243,1322,3.0,32,174,212,612,625,1374,932,638,89,108
Tremors 2: Aftershocks,1996,S. S. Wilson,100,13551,1547,2.8,57,216,309,1024,1194,1958,919,505,83,134
Teen Titans: The Judas Contract,2017,Sam Liu,84,8457,1563,3.2,29,86,86,356,682,1772,1223,897,156,181
Ravenous,2017,Robin Aubert,103,5601,971,3.1,38,102,109,395,552,1316,1015,685,141,67
Cat Soup,2001,Tatsuo Satou,34,6359,1783,3.8,10,22,19,81,139,405,679,1122,377,524
Godzilla vs. Mechagodzilla,1974,Jun Fukuda,84,6803,1564,3.3,4,39,54,272,368,1183,891,748,169,199
Memoirs of an Invisible Man,1992,John Carpenter,99,10129,951,2.8,45,201,222,835,1021,1792,836,346,47,43
Puppet Master,1989,David Schmoeller,85,8996,1236,2.7,71,230,269,786,900,1391,541,354,49,105
Grabbers,2012,Jon Wright,94,7204,1317,3.2,23,66,85,302,620,1585,1193,788,103,67
Planet of the Vampires,1965,Mario Bava,88,5063,1077,3.3,9,48,45,213,351,907,790,603,126,123
Save the Green Planet!,2003,Jang Joon-hwan,118,3804,707,3.6,10,30,39,76,137,402,524,646,265,174
They Call Me Jeeg,2015,Gabriele Mainetti,112,6941,1676,3.6,21,37,45,160,263,777,1127,1455,438,383
Slugs,1988,Juan Piquer Simón,89,4374,935,3.0,32,87,144,337,394,854,551,400,62,73
Tuck Everlasting,2002,Jay Russell,90,13037,1010,2.8,68,184,200,687,677,1148,505,402,79,180
Justice League: The New Frontier,2008,Dave Bullock,75,8438,1493,3.3,19,48,70,273,432,1286,1101,929,225,213
Recess: School's Out,2001,Chuck Sheetz,83,15138,1319,3.1,26,95,123,516,720,1821,857,606,113,203
Godzilla vs. King Ghidorah,1991,Kazuki Ōmori,103,5621,1369,3.4,6,30,53,188,315,930,848,755,176,154
Sharknado 3: Oh Hell No!,2015,Anthony C. Ferrante,88,8960,725,1.9,919,1112,611,852,441,572,212,189,47,179
Wonder Woman,2009,Lauren Montgomery,74,7785,1511,3.4,10,38,47,186,303,1133,1121,1068,235,213
Monster Trucks,2016,Chris Wedge,105,6497,619,2.2,260,608,541,932,725,899,263,164,34,81
Cyborg,1989,Albert Pyun,86,8765,876,2.4,143,441,390,912,764,964,368,241,38,71
Godzilla vs. Megalon,1973,Jun Fukuda,82,5248,1100,2.8,37,165,217,536,533,851,388,273,44,134
Family Guy Presents: It's a Trap!,2010,Peter Shin,57,15624,1736,3.1,103,179,161,542,750,2147,1201,1066,135,267
"Family Guy Presents: Something, Something, Something, Dark Side",2009,"Peter Shin,Dominic Polcino,James Purdum",55,15760,1869,3.2,80,169,120,491,609,2014,1324,1258,177,308
The Fly II,1989,Chris Walas,105,9583,829,2.5,93,313,372,1006,956,1176,536,223,27,46
Double Team,1997,Tsui Hark,93,10364,757,2.2,262,646,609,1075,689,793,356,204,40,70
Critters 2,1988,Mick Garris,86,7846,1223,2.9,25,140,162,545,653,1250,670,487,72,113
Capricorn One,1977,Peter Hyams,123,5485,856,3.3,6,29,39,159,275,954,836,641,78,66
"Godzilla, King of the Monsters!",1956,"Ishirō Honda,Terry O. Morse",80,5844,835,2.9,83,131,130,378,459,826,442,392,80,128
Godzilla: Final Wars,2004,Ryûhei Kitamura,125,5938,1451,3.2,52,118,146,327,352,834,700,689,206,287
The Thief and the Cobbler,1993,Richard Williams,72,4461,1094,3.6,15,36,39,108,131,348,396,542,251,299
Fullmetal Alchemist,2017,Fumihiko Sori,135,5697,325,2.3,416,564,447,752,527,585,274,224,181,135
Sea Fever,2019,Neasa Hardiman,95,2952,527,3.0,10,35,58,222,404,805,606,295,30,20
The Wraith,1986,Mike Marvin,93,5554,951,2.8,35,136,208,493,502,942,483,332,46,107
Patema Inverted,2013,Yasuhiro Yoshiura,98,4879,945,3.4,9,40,45,135,281,631,806,658,190,142
Voices of a Distant Star,2002,Makoto Shinkai,25,5747,761,3.1,54,118,107,327,431,821,631,516,138,128
Batman: Return of the Caped Crusaders,2016,Rick Morales,78,4596,1142,3.3,14,35,60,171,262,906,865,670,128,133
Captain America,1990,Albert Pyun,97,6529,345,1.5,732,1029,493,591,228,219,69,70,8,33
Freaks of Nature,2015,Robbie Pickering,92,4195,644,2.8,39,96,145,369,475,831,501,241,49,39
Slaughterhouse-Five,1972,George Roy Hill,104,4029,570,3.3,4,21,38,142,204,591,574,481,108,88
Bloody Birthday,1981,Ed Hunt,85,4042,709,2.9,22,77,104,293,433,914,493,266,31,45
MFKZ,2017,"Shōjirō Nishimi,Guillaume Renard",95,3974,1008,3.2,12,57,78,242,334,800,742,534,119,108
Divine Love,2019,Gabriel Mascaro,100,4024,548,3.1,43,76,86,312,392,808,652,559,108,86
Godzilla vs. Gigan,1972,Jun Fukuda,89,4433,866,2.9,11,61,103,346,510,878,418,284,38,77
Powder,1995,Victor Salva,111,9686,747,2.6,125,229,257,765,670,927,391,304,53,87
The Deadly Spawn,1983,Douglas McKeown,78,3355,814,3.3,14,32,59,153,213,523,444,392,106,96
Godzilla vs. Mechagodzilla II,1993,Takao Okawara,108,3892,879,3.3,4,18,30,157,261,755,575,429,78,78
Phantasm: Ravager,2016,David Hartman,87,3413,496,2.4,118,248,265,550,502,543,202,118,20,36
Mystery Science Theater 3000: The Movie,1996,Jim Mallon,73,6599,1384,3.6,24,31,30,92,154,638,727,892,231,368
Neo Tokyo,1987,"Katsuhiro Otomo,Yoshiaki Kawajiri,Rintaro",50,2752,629,3.6,2,9,13,62,74,321,423,398,125,98
Godzilla: City on the Edge of Battle,2018,"Kōbun Shizuno,Hiroyuki Seshita",105,4161,482,2.6,79,215,271,624,580,773,350,203,25,37
The Whispering Star,2015,Sion Sono,100,1632,442,3.6,6,15,28,56,83,168,238,294,156,111
The Arrival,1996,David Twohy,115,6875,626,2.8,32,132,146,525,679,1115,510,283,39,23
Guardians,2017,Sarik Andreasyan,100,4069,306,2.0,411,564,394,492,332,329,190,132,32,70
A Visitor to a Museum,1990,Konstantin Lopushansky,128,1154,338,3.9,3,1,7,21,25,74,115,238,145,97
On the Beach,1959,Stanley Kramer,134,3034,465,3.5,7,9,13,87,137,372,487,417,122,100
Forbidden World,1982,Allan Holzman,77,3145,592,2.8,23,87,127,331,341,605,336,208,31,38
The Last Days on Mars,2013,Ruairi Robinson,98,5295,331,2.5,53,190,311,720,766,840,338,115,11,18
Phoenix Forgotten,2017,Justin Barber,80,3660,469,2.6,80,197,187,472,479,699,346,200,30,31
Split Second,1992,Tony Maylam,90,3872,772,2.9,19,65,100,293,408,779,439,277,36,61
Time to Hunt,2020,Yoon Sung-hyun,134,3013,515,3.2,3,28,63,198,332,706,636,403,87,64
Sharknado 4: The 4th Awakens,2016,Anthony C. Ferrante,85,5459,457,1.8,742,803,398,495,258,332,137,91,26,112
Tremors 3: Back to Perfection,2001,Brent Maddock,104,7004,619,2.4,82,267,352,843,753,814,238,112,17,51
Planet Hulk,2010,Sam Liu,81,7017,962,3.1,19,42,75,339,532,1444,738,497,56,73
Dead Heat,1988,Mark Goldblatt,86,4080,864,3.0,33,79,97,247,321,688,513,373,74,70
Robinson Crusoe on Mars,1964,Byron Haskin,110,2999,461,3.1,11,27,48,166,265,523,431,249,64,28
Space Chimps,2008,Kirk DeMicco,81,9149,286,1.6,743,1131,582,637,281,297,76,47,10,64
Hobgoblins,1988,Rick Sloane,92,3380,340,1.6,561,553,277,276,137,165,78,58,11,24
Prophecy,1979,John Frankenheimer,102,2814,470,2.9,13,57,79,259,329,555,309,155,24,29
Area 51,2015,Oren Peli,91,4714,221,1.8,421,701,452,603,334,327,85,65,13,16
Surf Nazis Must Die,1987,Peter George,83,3855,465,2.3,160,296,258,400,304,353,187,123,21,53
Day Watch,2006,Timur Bekmambetov,132,6280,699,3.0,50,93,105,319,372,859,553,396,80,92
